stud_no,firstname,lastname,gender,avg_grade,IQ,birthdate,hometown
97,Lou,Watson,Male,2.16,119,10/19/1991 0:00,CEBU CITY
98,Fannie,Lane,Female,2.3,94,7/12/1991 0:00,CEBU CITY
99,Kyle,Kelly,Male,2.257142,101,10/14/1993 0:00,CEBU CITY
100,Ryan,Becker,Female,2.057142,101,6/1/1991 0:00,MINGLANILLA
101,Kyle,Bush,Female,1.854545,103,1/10/1989 0:00,CEBU CITY
102,Lettie,Jacobs,Male,1.563636,102,1/7/1992 0:00,Cebu City
103,Ethel,Ray,Male,2.525,97,12/8/1991 0:00,TALISAY CITY
104,Tommy,Huff,Male,1.985714,114,6/18/1992 0:00,TALISAY CITY
105,Glenn,Allison,Female,2.390909,105,12/3/1990 0:00,CEBU CITY
106,Sally,Poole,Female,2.05,107,5/7/1991 0:00,TALISAY CITY
107,Eula,Woods,Female,2.335,109,6/10/1991 0:00,CEBU CITY
108,Eddie,Carroll,Male,1.735,113,1/5/1992 0:00,CEBU CITY
109,Gussie,Moody,Male,1.728571,110,1/27/1991 0:00,CEBU CITY
110,Isabelle,Cannon,Male,1.572727,112,12/24/1992 0:00,CEBU CITY
111,Virginia,Hudson,Female,2.4,94,8/15/1993 0:00,CEBU CITY
112,Logan,Saunders,Male,1.77,110,4/8/1993 0:00,CEBU CITY
113,Frances,West,Female,2.185,102,11/19/1993 0:00, CEBU CITY
114,Jerry,Nunez,Male,2.37,84,4/22/1992 0:00,CEBU
115,Frances,Campbell,Female,1.995,88,9/8/1992 0:00,CEBU CITY
116,Victoria,Wallace,Male,2.32,100,7/22/1992 0:00,CEBU CITY
117,Alberta,Houston,Female,2.1125,99,12/29/1992 0:00,TALISAY CITY
118,Alma,Stone,Female,2.568421,92,6/16/1991 0:00,TALISAY CITY
119,Anthony,Osborne,Male,2.32,94,2/14/1993 0:00,TALISAY
120,Michael,Holloway,Male,2.26,94,4/10/1992 0:00,CEBU CITY
121,Fannie,McCormick,Female,2.365,89,8/20/1993 0:00,TALISAY CITY
122,Gerald,Palmer,Female,2.422222,105,5/1/1993 0:00,MINGLANILLA
123,Susie,Townsend,Female,2.078571,91,12/6/1992 0:00,Talisay City
124,Garrett,Blake,Male,2.25,85,11/11/1993 0:00,TALISAY CITY
125,Noah,Joseph,Male,2.533333,109,7/17/1993 0:00,TALISAY CITY
126,Nathaniel,Gilbert,Female,2.31,83,8/26/1994 0:00,CEBU CITY
127,Arthur,Schultz,Male,2.1,99,7/14/1994 0:00,CEBU CITY
128,Fred,Evans,Male,1.895,100,10/26/1993 0:00,TALISAY CITY
129,Paul,Arnold,Male,1.38,119,9/23/1994 0:00,CEBU CITY
130,Bertie,Paul,Male,2.18125,97,10/5/1963 0:00,TALISAY CITY
131,Leah,Bowman,Male,1.716666,105,3/6/1955 0:00,MANDAUE CITY
132,Myrtle,Wells,Male,2.042857,104,3/18/1965 0:00,minglanilla
133,Landon,Aguilar,Female,1.436363,98,6/20/1957 0:00,Cebu City
134,John,Cannon,Female,2.422222,98,11/20/1964 0:00,CARCAR
135,Dennis,Lopez,Male,1.957142,112,11/10/1965 0:00,BAYBAY
136,Jared,Fields,Male,1.818181,106,1/14/1960 0:00,LILO-AN
137,Bobby,Goodwin,Female,2.621052,102,12/23/1964 0:00,CEBU CITY
138,Allie,Clayton,Female,2.173684,94,12/29/1964 0:00,BONTOC
139,Hester,Terry,Female,2.43,108,4/4/1966 0:00,CEBU CITY
140,Roy,Walsh,Male,1.973684,114,11/28/1965 0:00,CEBU CITY
141,Adam,Higgins,Female,2.073684,94,4/17/1964 0:00,BADIAN
142,Elijah,Stanley,Male,2.35,93,11/8/1966 0:00,CATEEL
143,Vera,Warner,Male,2.616666,102,10/9/1966 0:00,CEBU CITY
144,Douglas,Simmons,Male,2.675,94,2/25/1959 0:00,CEBU CITY
145,Gene,Cannon,Female,2.55,93,7/25/1966 0:00,CEBU CITY
146,Lydia,Newton,Male,2.164285,92,6/5/1966 0:00,MINGLANILLA
147,Herman,McKinney,Male,2.28,93,11/6/1966 0:00,CEBU CITY
148,Julian,Hill,Female,2.205,81,10/16/1963 0:00,CEBU CITY
149,James,Gilbert,Female,2.295,91,10/17/1966 0:00,MINGLANILLA
150,Emily,Adkins,Female,2.02,100,12/5/1965 0:00,CEBU CITY
151,Willie,Butler,Male,2.182352,107,3/5/1968 0:00,CEBU CITY
152,Hulda,Parks,Female,1.513333,101,6/6/1968 0:00,KANANGA
153,Lela,Stephens,Female,2.044444,95,10/14/1966 0:00,CEBU CITY
154,Keith,Green,Female,1.87647,107,1/19/1966 0:00,TALISAY
155,Clarence,Garrett,Female,2.2,102,10/19/1967 0:00,TALISAY CITY
156,Viola,Lloyd,Male,2.475,88,8/21/1967 0:00,MINGLANILLA
157,Jeanette,Griffith,Female,1.885,99,3/12/1966 0:00,TOLEDO CITY
158,Christina,Nunez,Male,2.705882,93,11/17/1967 0:00,BAYBAY
159,Jay,Walker,Female,2.364285,104,12/19/1967 0:00,TALISAY CITY
160,Mitchell,Keller,Female,2.195,94,4/15/1968 0:00,LAPU-LAPU CITY
161,Helen,Adams,Female,2.766666,97,9/24/1968 0:00,LILOAN
162,Aiden,Bishop,Male,2.13,93,10/18/1966 0:00,TALISAY CITY
163,Wesley,Simmons,Male,2.294117,97,1/29/1968 0:00,Cebu City
164,Alan,Floyd,Female,2.18421,98,4/30/1964 0:00,CEBU CITY
165,Chase,Murray,Female,2.166666,98,10/30/1952 0:00,NAGA
166,Shane,Bishop,Male,2.065,94,3/8/1967 0:00,CEBU CITY
167,Marguerite,Patterson,Female,2.5,91,4/27/1965 0:00,DUMAGUETE CITY
168,Lida,Neal,Male,2.265,91,5/21/1957 0:00,LAPU-LAPU CITY
169,Oscar,Berry,Male,2.114285,103,7/9/1968 0:00,MANDAUE CITY
170,Eddie,Cain,Male,2.670588,94,11/3/1961 0:00,CEBU CITY
171,Nicholas,Vaughn,Male,2.388235,84,11/20/1963 0:00,ALCOY
172,Louis,Thornton,Male,1.75,105,9/8/1955 0:00,CEBU CITY
173,Bill,Ruiz,Female,1.7,106,2/4/1960 0:00,CEBU CITY
174,Jimmy,Singleton,Male,2.0875,98,9/19/1964 0:00,CAGDIANAO
175,Lora,Freeman,Male,2.28421,80,8/18/1967 0:00,BUENAVISTA
176,Ivan,Hampton,Male,1.847058,103,4/7/1968 0:00,CONSOLACION
177,Minnie,Reynolds,Male,1.985,103,8/22/1968 0:00,MANDAUE CITY
178,Caleb,Hammond,Female,2.303846,94,1/16/1965 0:00,CEBU CITY
179,Effie,Fuller,Male,1.645454,115,9/29/1968 0:00,ALMERIA
180,Elva,Lindsey,Male,1.95,103,4/19/1969 0:00,TALISAY CITY
181,Jean,Barnes,Male,1.8,103,1/17/1966 0:00,BANTAYAN
182,Brandon,Duncan,Male,1.833333,101,4/14/1968 0:00,MANDAUE CITY
183,Christina,Murray,Male,1.829411,111,11/11/1969 0:00,LAPU-LAPU CITY
184,Barry,Klein,Female,2.134782,88,10/24/1948 0:00,TALISAY CITY
185,Jon,Doyle,Female,1.582608,108,12/15/1969 0:00,TALISAY CITY
186,Jim,Parker,Male,1.713043,98,6/6/1958 0:00,CEBU CITY
187,Oscar,Leonard,Female,2.005263,104,1/23/1963 0:00,CEBU CITY
188,Lida,Maldonado,Male,2.277777,108,3/26/1969 0:00,BAYBAY
189,Ellen,Wallace,Female,2.8,89,8/9/1964 0:00,CEBU CITY
190,Tillie,Romero,Male,2.735294,88,2/18/1969 0:00,CARMEN
191,Stella,Daniels,Male,1.6,101,8/2/1969 0:00,SIBONGA
192,Derrick,Ortega,Male,2.026086,97,3/7/1970 0:00,DAAN-BANTAYAN
193,Joshua,Harrington,Male,2.488235,96,2/19/1971 0:00,CEBU CITY
194,Landon,Wood,Female,2.3125,100,7/17/1969 0:00,Naga
195,Herbert,Norton,Female,2.307142,94,12/16/1969 0:00,MANDAUE CITY
196,Clara,Hughes,Male,2.5625,113,11/23/1970 0:00,TALISAY
197,Clayton,Arnold,Female,1.592857,103,6/29/1968 0:00, BUKIDNON
198,Fanny,Vega,Male,1.8,102,9/10/1970 0:00,CEBU CITY
199,Gabriel,Gordon,Male,2.27,96,3/12/1970 0:00,CEBU CITY
200,Carolyn,Schneider,Male,2.056521,101,4/10/1971 0:00,"PORO, CAMOTES"
201,Glen,Cohen,Female,2.02,100,11/18/1971 0:00,Minglanilla
202,Iva,Bowers,Male,2.37,94,12/8/1968 0:00,MINGLANILLA
203,Josephine,Zimmerman,Female,2.478947,103,7/8/1970 0:00,TAGANA-AN
204,Mayme,Diaz,Female,1.635714,111,2/4/1971 0:00,CEBU CITY
205,Antonio,Casey,Female,1.734782,105,7/27/1953 0:00,CEBU CITY
206,Isabelle,McCoy,Male,1.790909,102,3/8/1965 0:00,"TALISAY,"
207,Jeanette,Price,Male,1.8,110,10/14/1970 0:00,CEBU CITY
208,Samuel,Conner,Male,2.269565,99,12/9/1970 0:00,CEBU CITY
209,Sylvia,Carson,Male,1.614285,94,6/6/1967 0:00,CEBU CITY
210,Emma,Henry,Male,2.068421,105,8/11/1970 0:00,LAPU-LAPU CITY
211,Rhoda,Brock,Male,2.722222,105,6/26/1970 0:00,MINGLANILLA
212,Emily,Stevenson,Female,2.036363,100,8/15/1970 0:00,CEBU CITY
213,Douglas,Lopez,Male,1.965,104,4/12/1963 0:00,CEBU CITY
214,Lloyd,Quinn,Male,2.625,91,5/12/1970 0:00,BISLIG
215,Winnie,Keller,Male,2.02,104,9/28/1962 0:00,CEBU CITY
216,Rebecca,Gonzales,Male,2.147058,95,10/29/1969 0:00,LAPU-LAPU CITY
217,Essie,Beck,Male,2.304347,85,9/7/1971 0:00,CEBU CITY
218,Francis,Fernandez,Female,2.577777,93,4/8/1971 0:00,TALISAY CITY
219,Stella,McDaniel,Female,1.80909,102,7/28/1971 0:00,MINGLANILLA
220,Justin,Manning,Male,2.34,108,10/14/1970 0:00,LAPU-LAPU CITY
221,Adrian,Vargas,Male,2.047826,102,11/6/1971 0:00,TALISAY CITY
222,Alan,Hayes,Female,1.771428,94,6/16/1970 0:00,MANDAUE CITY
223,Sophie,Herrera,Male,2.042857,100,9/2/1970 0:00,CEBU CITY
224,Shane,Holmes,Male,1.6,113,8/30/1965 0:00,TAMBULIG
225,Anne,Warren,Female,1.791666,116,11/28/1971 0:00,MANDAUE CITY
226,Mason,Saunders,Male,2.575,81,1/18/1973 0:00,LAPU-LAPU CITY 6015 cebu
227,Myrtle,Patton,Male,1.658333,108,12/5/1964 0:00,TALISAY
228,Isaiah,Meyer,Female,1.843478,84,9/3/1971 0:00,Cebu City
229,Maud,Horton,Male,2.242105,96,1/4/1972 0:00,CAWAYAN
230,Clarence,Hawkins,Male,1.947826,102,1/7/1972 0:00,CONSOLACION
231,Martin,Phelps,Female,2.671428,100,7/15/1971 0:00,CEBU CITY
232,Samuel,Hammond,Female,2.128571,109,8/3/1953 0:00,TUBURAN
233,Lucinda,Carpenter,Female,2.395,96,11/18/1968 0:00,CEBU CITY
234,Howard,Kim,Female,1.883333,109,3/10/1972 0:00,CEBU CITY
235,Eliza,Edwards,Male,2.031818,119,2/15/1973 0:00,MINGLANILLA
236,Lida,Moore,Male,2.136842,101,11/23/1972 0:00,MINGLANILLA
237,Landon,Greer,Male,2.108695,92,6/6/1972 0:00,MINGLANILLA
238,Isabelle,Warner,Male,2.43913,94,11/18/1973 0:00,GENERAL LUNA
239,Duane,Howell,Female,2.670588,95,5/12/1972 0:00,COMPOSTELA
240,Bryan,George,Male,2.456521,94,2/1/1973 0:00,SIPALAY
241,Mildred,Collier,Female,2.086956,83,4/21/1968 0:00,LAZI
242,Johnny,Morgan,Male,2.652173,82,2/28/1971 0:00,CEBU CITY
243,Allen,Mullins,Female,2.543478,79,8/3/1954 0:00,CEBU CITY
244,Helen,Guerrero,Male,1.68125,98,2/8/1972 0:00,SUBANGDAKU
245,Willie,Reese,Male,2.164285,100,11/5/1970 0:00,NAVAL
246,Millie,Franklin,Female,2.3,99,7/17/1972 0:00,CEBU CITY
247,Lucy,Burns,Male,2.695,98,4/2/1974 0:00,CEBU CITY
248,Jesus,Knight,Female,1.48125,95,6/10/1973 0:00,CEBU CITY 6000 cebu
249,Harriet,Collins,Male,2.35,92,2/20/1974 0:00,CEBU CITY
250,Mittie,Jennings,Female,1.978571,92,10/26/1973 0:00,CEBU CITY
251,Beulah,Davis,Male,2.366666,95,10/15/1973 0:00,MANDAUE CITY
252,Mary,Mann,Female,1.805,95,11/18/1973 0:00,CEBU CITY
253,Bertie,Williams,Female,2.3125,84,12/18/1973 0:00,MANDAUE CITY
254,Fanny,Drake,Male,2.190909,103,9/4/1974 0:00,CEBU CITY
255,Gilbert,Christensen,Female,2.288235,111,3/9/1972 0:00,PORO
256,Mittie,Patton,Female,1.4,105,10/22/1973 0:00,CEBU CITY
257,Eliza,Lamb,Female,1.992857,102,8/29/1973 0:00,BANTAYAN
258,Chad,Powell,Male,2.366666,89,7/14/1973 0:00,Mandaue City
259,Ellen,Garrett,Female,1.6625,91,7/22/1973 0:00,SIPALAY
260,Viola,Fox,Female,2.475,99,3/15/1964 0:00,TAGBILARAN CITY
261,Bernard,Clayton,Male,2.2,95,5/14/1972 0:00,LILOAN
262,Jacob,Spencer,Female,1.9625,95,4/7/1973 0:00,CEBU CITY
263,Dustin,McGee,Male,1.928571,98,1/13/1956 0:00,CEBU CITY
264,Mitchell,Strickland,Male,2.426315,96,8/4/1973 0:00,CEBU CITY
265,Lizzie,Castillo,Male,2.317647,97,1/29/1972 0:00,SIBONGA
266,Stella,Freeman,Female,2.5625,92,6/15/1973 0:00, MINGLANILLA
267,Isabelle,Dennis,Female,2.844444,91,8/15/1973 0:00,CARCAR
268,Max,Paul,Female,2.311764,94,9/7/1972 0:00,JOLO
269,James,Ortiz,Male,2.331578,102,3/21/1973 0:00,CARCAR CITY
270,Dylan,Richards,Male,2.688888,95,3/10/1972 0:00,MANDAUE CITY
271,Jorge,Parks,Female,2.755555,85,4/28/1966 0:00,GENERAL SANTOS CITY
272,Leon,Horton,Female,2.555555,82,8/23/1961 0:00,CEBU CITY
273,Lela,Fuller,Male,1.645454,110,5/1/1972 0:00,CEBU CITY
274,Carolyn,Stevenson,Male,2.107142,103,9/16/1973 0:00,DUMAGUETE CITY
275,Leon,Bennett,Male,1.905,122,1/14/1971 0:00,CEBU CITY
276,Matilda,Clarke,Female,1.95625,96,12/13/1970 0:00,TALISAY
277,Emily,Ingram,Male,1.54375,100,12/2/1974 0:00,CARCAR
278,Keith,Brown,Female,1.8875,102,6/17/1974 0:00,TAGBILARAN CITY
279,Billy,Haynes,Female,1.7875,94,5/7/1975 0:00,LILO-AN
280,Jean,Ruiz,Female,2.4,96,6/12/1974 0:00,CONSOLACION
281,Charlie,Coleman,Female,2.34,89,8/5/1974 0:00,CEBU CITY
282,Sadie,Nichols,Male,2,89,10/24/1974 0:00,CEBU CITY
283,Sara,Stokes,Male,1.928571,100,1/4/1975 0:00,CEBU CITY
284,Carrie,Richardson,Female,1.778571,87,2/10/1966 0:00,TALISAY CITY
285,Mathilda,Mason,Female,1.3,99,5/26/1974 0:00,CEBU CITY
286,Gertrude,Kim,Female,1.7,108,9/5/1974 0:00,CEBU CITY
287,Dylan,Jensen,Female,2.358823,99,11/22/1974 0:00,TAGBILARAN CITY
288,Marion,Adkins,Male,1.833333,113,9/2/1973 0:00,MANDAUE CITY
289,Sylvia,Berry,Female,2.4375,94,10/29/1974 0:00,LAPU-LAPU CITY
290,Joseph,Gomez,Female,1.342105,99,11/21/1973 0:00,BADIAN
291,Adrian,West,Male,2.51,84,12/16/1975 0:00,MANDAUE CITY
292,Leon,Garcia,Male,2.21,94,2/20/1975 0:00,MINGLANILLA
293,Maria,Carson,Male,1.742105,108,4/29/1975 0:00,SAN FERNANDO
294,Joel,Moody,Male,1.421428,102,12/30/1975 0:00,CEBU CITY
295,Roxie,Keller,Female,2.152631,89,12/7/1975 0:00,CEBU CITY
296,Mable,Green,Male,1.572727,126,3/9/1975 0:00,CEBU CITY
297,Mario,Carroll,Male,2.615789,94,6/1/1975 0:00,CORDOVA
298,Eva,Tucker,Female,2.3375,90,1/24/1975 0:00,CEBU CITY
299,Christopher,Marshall,Female,2.688888,88,4/11/1975 0:00,CEBU CITY
300,Steve,Cannon,Female,2.718181,96,2/27/1975 0:00,BUENAVISTA
301,Bernard,Abbott,Female,2.105882,103,2/9/1975 0:00,MANDAUE CITY
302,Pauline,Cross,Female,2.25909,88,4/10/1974 0:00,CONSOLACION
303,Hulda,Harper,Male,2.529411,102,8/24/1974 0:00,MANDAUE CITY
304,Paul,Parker,Male,2.405882,89,12/25/1973 0:00,CEBU CITY
305,Ian,Luna,Male,1.955555,98,10/15/1975 0:00,CEBU CITY
306,Mamie,Bell,Male,1.681818,108,7/20/1975 0:00,MANDAUE CITY
307,Anne,Wise,Female,2.410526,92,8/12/1975 0:00,CEBU CITY
308,Jacob,Norton,Female,2.288888,104,11/18/1974 0:00,Compostela
309,Mable,Munoz,Male,2.2,104,4/19/1975 0:00,CONSOLACION
310,Fred,Grant,Male,2.463636,95,1/26/1976 0:00,CEBU
311,Leo,Ray,Male,2.035294,104,8/13/1975 0:00,BARILI
312,Kyle,Morgan,Male,2.164705,125,2/28/1976 0:00,SURIGAO CITY
313,Barry,May,Male,2.55,103,11/10/1976 0:00,OSLOB
314,Kevin,McCoy,Male,2.481818,91,4/1/1971 0:00,BAYUGAN
315,Victor,Newman,Male,2.028571,91,1/15/1974 0:00,cebu city
316,Nathaniel,Hansen,Male,2.04,98,11/14/1974 0:00,DIGOS CITY
317,Herman,Patton,Female,2.314285,89,6/30/1967 0:00,Toledo City
318,Jayden,Lewis,Male,1.557142,103,3/12/1976 0:00,Cebu City
319,Antonio,Freeman,Female,2.245454,91,5/23/1976 0:00,TALISAY CITY
320,Cecilia,Stevenson,Male,2.38125,97,8/23/1973 0:00,CARMEN
321,Anthony,McLaughlin,Female,2.413636,97,7/14/1976 0:00,SAN FERNANDO
322,Evelyn,Jacobs,Male,2.45,87,9/24/1975 0:00,MAASIN
323,Stanley,Arnold,Male,2.114285,104,3/30/1976 0:00,CONSOLACION
324,Lee,Hayes,Male,2.440909,92,1/26/1976 0:00,MANDAUE CITY
325,Nellie,Hardy,Male,2.331578,105,6/17/1976 0:00,BADIAN
326,Mamie,Ward,Female,2.33125,104,9/7/1976 0:00,CEBU CITY
327,Michael,Murray,Male,2.0125,107,7/21/1976 0:00,MANDAUE CITY
328,Herman,Klein,Male,1.7,112,11/3/1971 0:00,MEDELLIN
329,Henry,Ford,Male,1.97647,100,12/2/1973 0:00,CEBU CITY
330,Maud,Dixon,Female,2.435294,95,6/13/1975 0:00,SAN FERNANDO
331,Clifford,Wallace,Male,2.681818,92,1/6/1976 0:00,MINGLANILLA
332,Johanna,Harper,Female,2.322222,92,8/19/1972 0:00,ALCOY
333,Jesus,Cannon,Female,1.882352,107,6/6/1973 0:00,CEBU CITY
334,Patrick,Simpson,Male,2.445454,87,5/24/1976 0:00,TALISAY CITY
335,Christine,Jenkins,Male,1.9,106,3/5/1976 0:00,ALCANTARA
336,Gerald,Reed,Male,1.642857,111,12/8/1975 0:00,LAPU-LAPU CITY
337,Mabel,Santiago,Female,2.204545,95,8/9/1967 0:00,CEBU CITY
338,Nicholas,Freeman,Male,2.470588,101,12/12/1977 0:00,GINATILAN
339,Jonathan,Pena,Male,2.318181,94,12/29/1976 0:00,BOGO
340,Rosie,Duncan,Female,2.445454,92,7/7/1977 0:00,LAPU-LAPU CITY
341,Addie,Valdez,Male,1.529411,109,6/26/1977 0:00,LAPULAPU CITY
342,Tony,Thornton,Female,2.036363,86,8/21/1977 0:00,CEBU CITY
343,Herman,Flowers,Male,2.205882,91,3/16/1977 0:00,CEBU CITY 6000 CEBU
344,John,Mendez,Female,2.047058,86,11/27/1977 0:00,CARCAR
345,Francis,Fernandez,Male,2.35909,89,6/20/1976 0:00,BARILI
